State,Year,Count,Weapon
Alabama,1998,343,Firearm
Alabama,1999,15,Firearm
Alabama,2000,235,Firearm
Alabama,2001,347,Firearm
Alabama,2002,292,Firearm
Alabama,2003,295,Firearm
Alabama,2004,253,Firearm
Alaska,1998,42,Firearm
Alaska,1999,56,Firearm
Alaska,2000,35,Firearm
Alaska,2001,39,Firearm
Alaska,2002,41,Firearm
Alaska,2003,44,Firearm
Alaska,2004,44,Firearm
Arizona,1998,396,Firearm
Arizona,1999,424,Firearm
Arizona,2000,385,Firearm
Arizona,2001,448,Firearm
Arizona,2002,446,Firearm
Arizona,2003,482,Firearm
Arizona,2004,458,Firearm
Arkansas,1998,209,Firearm
Arkansas,1999,151,Firearm
Arkansas,2000,163,Firearm
Arkansas,2001,147,Firearm
Arkansas,2002,146,Firearm
Arkansas,2003,157,Firearm
Arkansas,2004,157,Firearm
California,1998,2353,Firearm
California,1999,2132,Firearm
California,2000,2219,Firearm
California,2001,2357,Firearm
California,2002,2549,Firearm
California,2003,2584,Firearm
California,2004,2566,Firearm
Colorado,1998,195,Firearm
Colorado,1999,201,Firearm
Colorado,2000,134,Firearm
Colorado,2001,154,Firearm
Colorado,2002,181,Firearm
Colorado,2003,190,Firearm
Colorado,2004,216,Firearm
Connecticut,1998,144,Firearm
Connecticut,1999,117,Firearm
Connecticut,2000,100,Firearm
Connecticut,2001,112,Firearm
Connecticut,2002,86,Firearm
Connecticut,2003,110,Firearm
Connecticut,2004,103,Firearm
Delaware,1998,24,Firearm
Delaware,1999,25,Firearm
Delaware,2000,27,Firearm
Delaware,2001,29,Firearm
Delaware,2002,30,Firearm
Delaware,2003,21,Firearm
Delaware,2004,28,Firearm
District of Columbia,2001,1,Firearm
District of Columbia,2002,252,Firearm
District of Columbia,2003,243,Firearm
District of Columbia,2004,189,Firearm
Florida,1998,1086,Firearm
Florida,1999,916,Firearm
Florida,2000,815,Firearm
Florida,2001,927,Firearm
Florida,2002,960,Firearm
Florida,2003,976,Firearm
Florida,2004,1011,Firearm
Georgia,1998,531,Firearm
Georgia,1999,527,Firearm
Georgia,2000,508,Firearm
Georgia,2001,575,Firearm
Georgia,2002,603,Firearm
Georgia,2003,643,Firearm
Georgia,2004,549,Firearm
Hawaii,1998,27,Interpersonal Violence
Hawaii,1999,43,Firearm
Hawaii,2000,35,Interpersonal Violence
Hawaii,2001,36,Interpersonal Violence
Hawaii,2002,25,Firearm
Hawaii,2003,23,Firearm
Hawaii,2004,34,Knife or cutting instrument
Idaho,1998,36,Firearm
Idaho,1999,26,Firearm
Idaho,2000,17,Firearm
Idaho,2001,33,Firearm
Idaho,2002,36,Firearm
Idaho,2003,28,Firearm
Idaho,2004,32,Firearm
Illinois,1998,766,Firearm
Illinois,1999,688,Firearm
Illinois,2000,668,Firearm
Illinois,2001,705,Other
Illinois,2002,687,Firearm
Illinois,2003,644,Firearm
Illinois,2004,485,Firearm
Indiana,1998,408,Firearm
Indiana,1999,335,Firearm
Indiana,2000,308,Firearm
Indiana,2001,381,Firearm
Indiana,2002,335,Firearm
Indiana,2003,330,Firearm
Indiana,2004,308,Firearm
Iowa,1998,49,Firearm
Iowa,1999,52,Firearm
Iowa,2000,52,Firearm
Iowa,2001,53,Firearm
Iowa,2002,49,Firearm
Iowa,2003,51,Firearm
Iowa,2004,47,Firearm
Kansas,2000,49,Firearm
Kansas,2001,80,Firearm
Kansas,2002,75,Firearm
Kansas,2003,93,Firearm
Kansas,2004,75,Firearm
Kentucky,1998,124,Firearm
